gene_id,symbol
ENSG00000267436,MFSD12-AS1
ENSG00000273320,NAMPT-AS1
ENSG00000260616,CYLD-AS2
ENSG00000223725,MYOSLID-AS1
ENSG00000226266,BAZ2B
ENSG00000233223,MPDU1-AS1
ENSG00000241962,MRPL30
ENSG00000170846,MRFAP1L2
ENSG00000233850,MAL-AS1
ENSG00000251600,GUSBP5
ENSG00000268403,ZNF143-AS1
ENSG00000237188,CHD1L
ENSG00000273619,RPS21-DT
ENSG00000236514,ZNF248-AS1
ENSG00000283064,H2BC6-AS1
ENSG00000278390,KBTBD6-DT
ENSG00000285280,RGS2-AS1
ENSG00000271380,PYGO2-AS1
ENSG00000215014,SSU72-AS1
ENSG00000286153,RUNX1-AS1
ENSG00000255240,GLYATL1-AS1
ENSG00000254682,DHCR7-DT
ENSG00000251143,NUMA1-AS1
